median_alt_m,median_press_hPa,sample_count,bin_start_m,bin_center_m,median_temp_C,median_gps_accuracy_m
12.8,1008.83,1054,0,12.5,30.95,9.2
37.4,1005.66,466,25,37.5,29.41,5.0
136.2,994.07,202,125,137.5,28.27,5.0
568.8,948.75,48,550,562.5,25.87,5.0
860.3,919.17,335,850,862.5,25.50,5.0
913.2,913.04,39,900,912.5,25.24,10.0
1123.2,891.00,8,1100,1112.5,25.13,5.0
1139.1,889.32,58,1125,1137.5,25.09,5.0
1163.4,886.82,57,1150,1162.5,25.04,5.0
1187.5,883.97,52,1175,1187.5,25.00,5.0
1212.5,881.21,47,1200,1212.5,24.94,5.0
1237.7,878.54,48,1225,1237.5,24.88,5.0
1261.8,876.06,45,1250,1262.5,24.84,5.0
1285.9,873.25,43,1275,1287.5,24.81,5.0
1312.0,870.67,43,1300,1312.5,24.79,5.0
1336.8,868.16,44,1325,1337.5,24.73,5.0
1363.3,865.98,62,1350,1362.5,24.75,5.0
1387.2,863.36,53,1375,1387.5,24.75,5.0
1404.0,861.51,14,1400,1412.5,24.72,10.0
1446.8,857.69,16,1425,1437.5,24.72,10.0
1464.0,856.01,46,1450,1462.5,24.70,10.0
1491.4,854.85,179,1475,1487.5,24.68,10.0
1513.4,850.91,106,1500,1512.5,24.60,10.0
1535.3,848.03,65,1525,1537.5,24.59,10.0
1554.0,846.60,21,1550,1562.5,24.63,10.0
1594.2,843.19,32,1575,1587.5,24.63,5.0
1622.3,838.47,27,1600,1612.5,24.72,10.0
1635.8,836.83,69,1625,1637.5,24.75,10.0
1660.5,832.59,152,1650,1662.5,24.91,10.0
1692.8,826.56,93,1675,1687.5,25.11,10.0
1703.3,826.10,94,1700,1712.5,25.19,5.0
1764.4,823.20,74,1750,1762.5,25.34,5.0
1786.0,822.43,140,1775,1787.5,25.48,10.0
1821.3,820.15,246,1800,1812.5,25.86,10.0
1836.5,818.55,133,1825,1837.5,26.18,10.0
1859.5,815.00,100,1850,1862.5,26.29,10.0
1877.3,813.86,84,1875,1887.5,26.34,10.0
1915.8,810.96,116,1900,1912.5,26.35,10.0
1938.1,808.93,336,1925,1937.5,26.19,5.0
1958.2,807.18,370,1950,1962.5,26.18,8.0
1986.2,803.51,122,1975,1987.5,26.07,5.0
2013.2,801.23,149,2000,2012.5,26.04,5.0
2036.5,800.05,110,2025,2037.5,26.04,8.1
2066.6,795.67,39,2050,2062.5,26.03,5.0
2088.3,793.33,53,2075,2087.5,26.03,5.0
2111.1,791.45,54,2100,2112.5,26.04,10.0
2128.2,790.09,16,2125,2137.5,26.06,10.0
2167.9,786.38,30,2150,2162.5,26.07,10.0
2183.3,785.01,43,2175,2187.5,26.10,10.0
2210.2,782.40,50,2200,2212.5,26.13,10.0
2242.0,779.52,33,2225,2237.5,26.17,10.0
2261.9,777.54,56,2250,2262.5,26.17,10.0
2286.8,775.04,51,2275,2287.5,26.15,10.0
2313.2,773.02,63,2300,2312.5,26.17,10.0
2333.8,771.01,33,2325,2337.5,26.17,10.0
2362.4,768.33,63,2350,2362.5,26.15,5.0
2392.3,765.41,25,2375,2387.5,26.14,10.0
2410.2,763.76,39,2400,2412.5,26.13,5.0
2440.9,761.21,29,2425,2437.5,26.11,5.0
2462.7,759.54,49,2450,2462.5,26.11,5.0
2489.0,757.23,53,2475,2487.5,26.11,10.0
2513.1,755.50,64,2500,2512.5,26.14,10.0
2540.4,752.93,63,2525,2537.5,26.14,10.0
2561.4,751.29,79,2550,2562.5,26.11,5.0
2582.9,750.09,313,2575,2587.5,26.18,5.0
